   1.9043648e+01   4.6796304e+01   9.7370000e+01  -1.9528900e-02   6.0230606e-02   5.2259654e-02  -5.4279520e-01
   1.9048376e+01   4.6793255e+01   9.7020000e+01  -1.9616781e-02   8.6518109e-02  -2.5191636e-04  -4.7930085e-01
   1.9053380e+01   4.6789638e+01   9.6900000e+01  -1.9873238e-02   1.0097982e-01  -4.8962424e-02  -1.6232694e-01
   1.9058094e+01   4.6786309e+01   9.6730000e+01  -2.0258898e-02   7.7314076e-02  -1.0690515e-01   2.6406091e-02
   1.9062271e+01   4.6783808e+01   9.6810000e+01  -2.0589257e-02   1.5420577e-02  -1.3005361e-01   3.6307645e-01
   1.9067823e+01   4.6780749e+01   9.6290000e+01  -2.0879570e-02   3.3815334e-02  -7.8669538e-02   5.8919684e-01
   1.9071986e+01   4.6777977e+01   9.6450000e+01  -2.1067754e-02   3.2139309e-02  -6.0471155e-02   7.2045631e-01
   1.9076986e+01   4.6774360e+01   9.6620000e+01  -2.1264692e-02   1.8081813e-02  -5.8205589e-02   9.3156986e-01
   1.9080873e+01   4.6771030e+01   9.6250000e+01  -2.1310084e-02  -5.6296506e-04  -3.6599310e-02   9.4636770e-01
   1.9084760e+01   4.6768249e+01   9.6240000e+01  -2.1294602e-02  -1.9575779e-02  -1.9493736e-02   9.7546150e-01
   1.9090322e+01   4.6764919e+01   9.6540000e+01  -2.1217730e-02  -2.0698603e-02   4.7675742e-03   9.1197067e-01
   1.9095045e+01   4.6762146e+01   9.6850000e+01  -2.1150109e-02  -4.7719216e-02   2.8680522e-02   8.9276016e-01
   1.9099494e+01   4.6759365e+01   9.7100000e+01  -2.1075697e-02  -3.6115546e-02   2.6943075e-02   7.9037007e-01
   1.9104490e+01   4.6755755e+01   9.6740000e+01  -2.0923913e-02  -4.0979857e-02   3.2358959e-02   5.9480885e-01
   1.9109486e+01   4.6752424e+01   9.5740000e+01  -2.0797879e-02  -2.5137559e-02   3.4874452e-02   3.8340445e-01
   1.9115048e+01   4.6751305e+01   9.5290000e+01  -2.0726375e-02  -1.9197010e-02   7.8042957e-03   3.5516250e-01
   1.9120596e+01   4.6750195e+01   9.4950000e+01  -2.0707639e-02  -1.1752672e-02   7.4220957e-03   2.2365416e-01
   1.9126155e+01   4.6748258e+01   9.4750000e+01  -2.0744986e-02  -7.1175273e-03  -1.1566550e-02   3.3060928e-01
   1.9131715e+01   4.6746589e+01   9.4650000e+01  -2.0794108e-02   3.9449268e-03  -2.3149919e-02   3.7768227e-01
   1.9137549e+01   4.6745200e+01   9.4550000e+01  -2.0887252e-02  -6.5401389e-03  -2.3677124e-02   4.5043222e-01
   1.9142819e+01   4.6742973e+01   9.4790000e+01  -2.0965998e-02  -9.2815817e-03  -2.1508415e-02   4.0111072e-01
   1.9150326e+01   4.6740754e+01   9.4890000e+01  -2.1051139e-02  -1.1926801e-02  -3.5549332e-02   3.7114774e-01
   1.9155598e+01   4.6739643e+01   9.4870000e+01  -2.1076419e-02  -2.4179175e-03  -6.7011706e-03   4.3195552e-01
   1.9161439e+01   4.6735751e+01   9.5140000e+01  -2.1073841e-02  -5.2413190e-03   2.2044239e-02   5.2310002e-01
   1.9163930e+01   4.6732141e+01   9.4860000e+01  -2.1063677e-02   4.4007569e-03   1.6238656e-02   1.3491518e-01
   1.9166984e+01   4.6728809e+01   9.4590000e+01  -2.1050325e-02  -5.7781027e-04   2.4132432e-02   3.0343956e-01
   1.9171989e+01   4.6726033e+01   9.4550000e+01  -2.0984923e-02   9.4966812e-03   1.6266567e-02   7.3312122e-02
   1.9175326e+01   4.6721307e+01   9.4770000e+01  -2.1019973e-02   3.7472391e-02   1.4683512e-02   2.0282076e-01
   1.9180316e+01   4.6718251e+01   9.4730000e+01  -2.1023913e-02   5.0660085e-02   1.7924777e-02   2.3900264e-01
