6613	46.79630422	19.04364769	97.370
6614	46.79325472	19.04837649	97.020
6615	46.78963826	19.05337974	96.900
6616	46.78630947	19.05809425	96.730
6617	46.78380818	19.06227146	96.810
6618	46.78074877	19.06782309	96.290
6619	46.77797724	19.07198620	96.450
6620	46.77435974	19.07698644	96.620
6621	46.77103021	19.08087329	96.250
6622	46.76824930	19.08476003	96.240
6623	46.76491890	19.09032166	96.540
6624	46.76214632	19.09504528	96.850
6625	46.75936468	19.09949351	97.100
6626	46.75575496	19.10449018	96.740
6627	46.75242390	19.10948649	95.740
6628	46.75130528	19.11504769	95.290
6629	46.75019541	19.12059558	94.950
6630	46.74825762	19.12615513	94.750
6631	46.74658944	19.13171471	94.650
6632	46.74519965	19.13754921	94.550
6633	46.74297340	19.14281923	94.790
6634	46.74075393	19.15032647	94.890
6635	46.73964259	19.15559775	94.870
6636	46.73575069	19.16143872	95.140
6637	46.73214081	19.16393008	94.860
6638	46.72880917	19.16698428	94.590
6639	46.72603309	19.17198857	94.550
6640	46.72130653	19.17532642	94.770
6641	46.71825123	19.18031582	94.730
6642	46.71463993	19.18365526	94.710
6643	46.70992102	19.18781532	94.720
6645	46.69992096	19.19920448	95.510
6646	46.69492296	19.20309974	95.340
6647	46.69131060	19.20671074	94.850
6648	46.69436297	19.21115191	94.520
6649	46.69853550	19.21226286	94.730
6650	46.70242468	19.21643295	94.760
6651	46.70353099	19.22254316	94.680
6652	46.70464463	19.22949056	95.480
6653	46.70519965	19.23671091	95.470
6654	46.70658374	19.24282286	95.930
6655	46.70741727	19.24977003	95.910
6656	46.70825040	19.25670434	96.300
6657	46.70908413	19.26310267	96.750
6658	46.71186281	19.26837135	97.480
6659	46.71186716	19.27531611	97.790
6660	46.71242537	19.28393736	98.150
6661	46.71186984	19.29142897	98.910
6662	46.70936653	19.29671426	99.890
6663	46.70741952	19.30253785	100.040
6664	46.70742178	19.30948204	100.350
6665	46.70742030	19.31782550	102.370
6666	46.70880703	19.32476373	103.330
6667	46.71242571	19.33115168	103.050
6668	46.71686407	19.32615235	102.230
6669	46.72103098	19.32171330	101.160
6670	46.72547792	19.31671243	99.940
6671	46.73075934	19.31253907	99.200
6672	46.73575660	19.31060095	99.030
6673	46.74130906	19.30976437	98.250
6674	46.74520355	19.30615828	98.360
6675	46.75186373	19.30476358	98.810
6676	46.75575278	19.29948096	97.580
6677	46.76019629	19.29560079	97.350
6678	46.76159006	19.29170616	97.070
6679	46.76881248	19.28809915	96.990
6680	46.77325389	19.28504198	96.690
6681	46.77825240	19.28226171	96.980
6682	46.78380743	19.28004645	97.320
6683	46.78798152	19.27559832	96.160
6684	46.79131090	19.27059588	95.280
6685	46.79631276	19.26587467	95.600
6686	46.80019634	19.26253676	95.260
6687	46.80463959	19.25810006	95.330
6688	46.80936552	19.25642831	95.410
6689	46.81381404	19.25392969	95.150
6690	46.81686815	19.25142537	95.450
6691	46.62463965	19.27643733	99.210
6692	46.62881419	19.27171479	98.270
6693	46.63214239	19.26726232	98.190
6694	46.63575722	19.26337203	97.650
6695	46.63908608	19.25838299	97.510
6696	46.64325786	19.25476803	97.210
6697	46.64686425	19.25032743	96.490
6698	46.65075737	19.24643597	96.510
6699	46.65464136	19.24254391	96.250
6700	46.65853468	19.23837694	95.860
6701	46.66214760	19.23504466	95.680
6702	46.66547255	19.23171095	95.340
6703	46.66853651	19.22837596	95.100
6704	46.67297849	19.22393424	94.820
6705	46.67686943	19.22087545	94.870
6706	46.68075296	19.21670517	94.770
6707	46.68436682	19.21227202	94.790
6708	46.68770048	19.20866103	94.660
6709	46.70186557	19.20476729	94.220
6710	46.70630958	19.20476712	93.220
6711	46.71130905	19.20642953	94.110
6712	46.71575033	19.20837834	94.080
6713	46.72075676	19.21142796	94.460
6714	46.72631305	19.21365567	94.600
6715	46.73131318	19.21477003	94.100
6716	46.73631373	19.21559674	94.270
6717	46.73991988	19.21643233	94.230
6718	46.74519763	19.21837256	94.420
6719	46.74963996	19.21948598	93.950
6720	46.75297452	19.22143370	94.680
6721	46.75686636	19.22365836	94.740
6722	46.76186468	19.22587390	94.650
6723	46.76547756	19.22809832	94.840
6724	46.76909130	19.22976006	96.800
6725	46.77408992	19.23171480	94.600
6726	46.77825190	19.23365392	95.070
6727	46.78242237	19.23588149	95.200
6729	46.79131244	19.24003836	94.930
6730	46.79603296	19.24143061	95.110
6731	46.79991827	19.24198167	95.370
6732	46.80437031	19.24253486	96.060
6733	46.80825512	19.24337433	94.460
6734	46.81241832	19.24449011	94.920
6735	46.81631165	19.24559196	95.350
6736	46.79547292	19.13226199	95.250
6737	46.79186070	19.12642773	95.000
6738	46.78714150	19.12088090	94.950
6739	46.78241952	19.11948639	94.340
6740	46.77769769	19.11781714	94.530
6741	46.77325437	19.11671155	94.220
6742	46.76853218	19.11559271	94.470
6743	46.76353125	19.11421190	94.430
6744	46.75825127	19.11309281	94.680
6747	46.74714354	19.08865886	96.310
6748	46.74492337	19.08309540	95.970
6749	46.74214466	19.07948190	96.180
6750	46.73936629	19.07393216	96.110
6751	46.73686637	19.06920742	95.950
6752	46.73436634	19.06393360	95.370
6753	46.73186610	19.05809768	95.900
6754	46.72936553	19.05337434	95.800
6755	46.72630701	19.04837672	96.330
6756	46.72102633	19.04504114	95.370
6757	46.71603355	19.04421745	94.770
6758	46.71297481	19.04170657	95.550
